authoritativeCounty,authoritativeSubCounty,countyId,countyName,canonicalFound,canonicalCode,canonicalCountyCode,canonicalName,canonicalHeadquarters,selectedCandidateId,selectedCandidateName,resolutionStatus,resolutionReason,geoJsonWardCount,geoJsonGids,prismaCandidates
KERICHO,Sigowet/Soin Sub County,56,Kericho,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,962;963;964;965,474:Sigowet/Soin Sub County
Kiambu,Kiambu Town Sub County,82,Kiambu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,2192;2193;2194;2195,428:Kiambu Town Sub County
Kiambu,Thika Town Sub County,82,Kiambu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,2234;2235;2236;2237;2238,439:Thika Town Sub County
KIRINYAGA,Kirinyaga North/Mwea West Sub County,75,Kirinyaga,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,496;497;498;499,378:Kirinyaga North/Mwea West Sub County
KIRINYAGA,Kirinyaga South Sub County,75,Kirinyaga,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,500;501;502;503,379:Kirinyaga South Sub County
Kisii,Bobasi Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,8,1977;1978;1979;1980;1981;1982;1983;1984,505:Bobasi Sub County
Kisii,Bomachoge Borabu Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1975;1976;2273;2274,450:Bomachoge Borabu Sub County
Kisii,Bomachoge Chache Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,3,1985;1986;1987,506:Bomachoge Chache Sub County
Kisii,Bonchari  Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1965;1966;1967;1968,503:Bonchari  Sub County
Kisii,Kitutu Chache North Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,1999;2000;2001;2002,510:Kitutu Chache North Sub County
Kisii,Kitutu Chache South Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,2003;2004;2005;2006;2007,485:Kitutu Chache South Sub County
Kisii,Nyaribari Chache  Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,1993;1994;1995;1996;1997;1998,508:Nyaribari Chache  Sub County
Kisii,Nyaribari Masaba Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1988;1989;1990;1991;1992,507:Nyaribari Masaba Sub County
Kisii,South Mugirango Sub County,87,Kisii,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,1969;1970;1971;1972;1973;1974,504:South Mugirango Sub County
Kisumu,Nyakach Sub County,93,Kisumu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1938;1939;1940;1941;1942,497:Nyakach Sub County
Kisumu,Nyando Sub County,93,Kisumu,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,1930;1931;1932;1943;1944,495:Nyando Sub County
KITUI,Kitui East Sub County,68,Kitui,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,359;360;361;362;363;364,354:Kitui East Sub County
KITUI,Kitui Rural Sub County,68,Kitui,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,4,350;351;352;353,348:Kitui Rural Sub County
KITUI,Kitui South Sub County,68,Kitui,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,6,365;366;367;368;369;370,357:Kitui South Sub County
KITUI,Mwingi North Sub County,68,Kitui,false,,,,,,,CANONICAL_NOT_FOUND,No matching record was found in subcounties.json. Matching attempt: NO_CANONICAL_SOURCE_MATCH,5,331;332;333;334;335,343:Mwingi North Sub County
