gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubCountyId,databaseSubCountyName,countyExact,countyNormalized,subCountyExact,subCountyNormalized,classification,reason
2062,Nairobi,Embakasi East Sub County,Upper Savanna Ward,2243,Upper Savanna Ward,79,Nairobi City,509,Embakasi East Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2069,Nairobi,Embakasi West Sub County,Mowlem Ward,2244,Mowlem Ward,79,Nairobi City,534,Embakasi West Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2070,Nairobi,Embakasi West Sub County,Kariobangi South Ward,2245,Kariobangi South Ward,79,Nairobi City,534,Embakasi West Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2071,Nairobi,Makadara  Sub County,Maringo/hamza Ward,2246,Maringo/hamza Ward,79,Nairobi City,1578,Makadara,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2079,Nairobi,Kamukunji  Sub County,California Ward,2248,California Ward,79,Nairobi City,1574,Kamukunji,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2075,Nairobi,Kamukunji  Sub County,Pumwani Ward,2249,Pumwani Ward,79,Nairobi City,1574,Kamukunji,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2078,Nairobi,Kamukunji  Sub County,Airbase Ward,2251,Airbase Ward,79,Nairobi City,1574,Kamukunji,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2080,Nairobi,Starehe  Sub County,Nairobi Central Ward,2253,Nairobi Central Ward,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2081,Nairobi,Starehe  Sub County,Ngara Ward Ward,2261,Ngara Ward Ward,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2082,Nairobi,Starehe  Sub County,Pangani Ward,2262,Pangani Ward,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2083,Nairobi,Starehe  Sub County,Ziwani/kariokor,2263,Ziwani/kariokor,79,Nairobi City,513,Starehe  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2086,Nairobi,Mathare  Sub County,Hospital Ward,2264,Hospital Ward,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2087,Nairobi,Mathare  Sub County,Mabatini Ward,2265,Mabatini Ward,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2089,Nairobi,Mathare  Sub County,Ngei Ward,2266,Ngei Ward,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2090,Nairobi,Mathare  Sub County,Mlango Kubwa,2267,Mlango Kubwa,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2091,Nairobi,Mathare  Sub County,Kiamaiko Ward,2268,Kiamaiko Ward,79,Nairobi City,1579,Mathare,false,false,false,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
2092,Nairobi,Westlands  Sub County,Kitisuru Ward,2269,Kitisuru Ward,79,Nairobi City,486,Westlands  Sub County,false,false,true,true,SOURCE_DB_CONTRADICTION,Authoritative county does not match the database County reached through Ward.sourceGid.
