gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
1528,1056,Kola Ward,Machakos,Machakos Sub County,,1355,Machakos,50,Machakos,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1529,1057,Mbiuni Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1530,1058,Makutano-mwala Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1531,1059,Masii Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1532,1060,Muthetheni Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1533,1061,Wamunyu Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1534,1062,Kibauni Ward,Machakos,Mwala Sub County,,1358,Mwala,50,Machakos,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1535,1063,West Kasipul Ward,Homa Bay,Kasipul Sub County,,267,Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1536,1064,South Kasipul Ward,Homa Bay,Kasipul Sub County,,267,Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1537,1065,Central Kasipul Ward,Homa Bay,Kasipul Sub County,,267,Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1538,1066,East Kamagak Ward,Homa Bay,Kasipul Sub County,,267,Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1539,1067,West Kamagak Ward,Homa Bay,Kasipul Sub County,,267,Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1540,1068,Kabondo East Ward,Homa Bay,Kabondo Kasipul Sub County,,268,Kabondo Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1541,1069,Kabondo West Ward,Homa Bay,Kabondo Kasipul Sub County,,268,Kabondo Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1542,1070,Kokwanyo/kakelo Ward,Homa Bay,Kabondo Kasipul Sub County,,268,Kabondo Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1543,1071,Kojwach Ward,Homa Bay,Kabondo Kasipul Sub County,,268,Kabondo Kasipul Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1544,1072,West Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,,269,Karachuonyo Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1545,1073,North Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,,269,Karachuonyo Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1546,1074,Central Ward,Homa Bay,Karachuonyo Sub County,,269,Karachuonyo Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1547,1075,Kanyaluo Ward,Homa Bay,Karachuonyo Sub County,,269,Karachuonyo Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1553,1076,Kagan Ward,Homa Bay,Rangwe Sub County,,1545,Rangwe,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1554,1077,Kochia Ward,Homa Bay,Rangwe Sub County,,1545,Rangwe,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1555,1078,Homa Bay Central Ward,Homa Bay,Homa Bay Town Sub County,,271,Homa Bay Town Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1556,1079,Homa Bay Arujo Ward,Homa Bay,Homa Bay Town Sub County,,271,Homa Bay Town Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1558,1080,Homa Bay East Ward,Homa Bay,Homa Bay Town Sub County,,271,Homa Bay Town Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1559,1081,Kwabwai Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1560,1082,Kanyadoto Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1561,1083,Kanyikela Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1562,1084,Kabouch North Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1563,1085,Kabuoch South/pala Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1565,1086,Kanyamwa Kosewe Ward,Homa Bay,Ndhiwa Sub County,,1541,Ndhiwa,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
