gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
101,1169,FAZA,LAMU,LAMU EAST,,1274,Lamu East,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
102,1170,KIUNGA,LAMU,LAMU EAST,,1274,Lamu East,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
103,1171,BASUBA,LAMU,LAMU EAST,,1274,Lamu East,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
104,1172,SHELLA,LAMU,LAMU WEST,,1275,Lamu West,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
105,1173,MKOMAMI,LAMU,LAMU WEST,,1275,Lamu West,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
106,1174,HINDI,LAMU,LAMU WEST,,1275,Lamu West,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
98,1175,Bangale Ward,TANA RIVER,Bura Sub County,,299,Bura Sub County,57,Tana River,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
99,1176,Sala Ward,TANA RIVER,Bura Sub County,,299,Bura Sub County,57,Tana River,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
108,1177,HONGWE,LAMU,LAMU WEST,,1275,Lamu West,58,Lamu,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1678,1178,Lusheya Lubinu Ward,Kakamega,Mumias East Sub County,,1503,Mumias East,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1679,1179,Malaha Isongo Makunga Ward,Kakamega,Mumias East Sub County,,1503,Mumias East,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1680,1180,East Wanga Ward,Kakamega,Mumias East Sub County,,1503,Mumias East,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1681,1181,Koyonzo Ward,Kakamega,Matungu Sub County,,1502,Matungu,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1682,1182,Kholera Ward,Kakamega,Matungu Sub County,,1502,Matungu,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1683,1183,Khalaba Ward,Kakamega,Matungu Sub County,,1502,Matungu,54,Kakamega,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
111,1184,Chala Ward,TAITA TAVETA,Taveta Sub County,,1278,Taveta,59,Taita Taveta,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1485,1185,Mokerero Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
115,1186,Mata Ward,TAITA TAVETA,Taveta Sub County,,1278,Taveta,59,Taita Taveta,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1487,1187,Tagare Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
116,1188,Wundanyi/mbale Ward,TAITA TAVETA,Wundanyi Sub County,,303,Wundanyi Sub County,59,Taita Taveta,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
118,1189,Wumingu/kishushe Ward,TAITA TAVETA,Wundanyi Sub County,,303,Wundanyi Sub County,59,Taita Taveta,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1488,1190,Nyamosense/komosoko Ward,Migori,Kuria West Sub County,,1550,Kuria West,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1489,1191,Gokeharaka/getambwega Ward,Migori,Kuria East Sub County,,1549,Kuria East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1491,1192,Ntimaru East Ward,Migori,Kuria East Sub County,,1549,Kuria East,49,Migori,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
