countyId,countyName,currentSubCountyId,currentSubCountyName,wards,authoritativeSubCountyNames,authoritativeWardCount,canonicalTargetId,canonicalTargetName,classification,reason,farmers,farms,businessPartners,destinationTransactions,sourceTransactions
92,Kajiado,1478,Kajiado North,5,Kajiado North Sub County,5,1478,Kajiado North,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,1,1,0,0,0
54,Kakamega,288,Lugari Sub County,6,Lugari Sub County,6,288,Lugari Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,289,Likuyani Sub County,5,Likuyani Sub County,5,289,Likuyani Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,290,Malava Sub County,7,Malava Sub County,7,290,Malava Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,291,Lurambi Sub County,6,Lurambi Sub County,6,291,Lurambi Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,292,Navakholo Sub County,5,Navakholo Sub County,5,292,Navakholo Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,293,Mumias West  Sub County,4,Mumias West  Sub County,4,293,Mumias West  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,300,Mumias East Sub County,3,Mumias East Sub County,3,300,Mumias East Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,301,Matungu Sub County,5,Matungu Sub County,5,301,Matungu Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,321,Khwisero Sub County,4,Khwisero Sub County,4,321,Khwisero Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,368,Butere Sub County,5,Butere Sub County,5,368,Butere Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,369,Shinyalu Sub County,6,Shinyalu Sub County,6,369,Shinyalu Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
54,Kakamega,370,Ikolomani Sub County,4,Ikolomani Sub County,4,370,Ikolomani Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
56,Kericho,295,AINAMOI,7,AINAMOI | Ainamoi Sub County,7,295,AINAMOI,NAME_VARIANT,AUTHORITATIVE_NAME_RESOLVES_TO_CURRENT_DB_RECORD,0,0,0,0,0
56,Kericho,352,Belgut Sub County,4,Belgut Sub County,4,352,Belgut Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
56,Kericho,472,Kipkelion West Sub County,4,Kipkelion West Sub County,4,472,Kipkelion West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
56,Kericho,473,Bureti Sub County,7,Bureti Sub County,7,473,Bureti Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
56,Kericho,474,Sigowet/Soin Sub County,4,Sigowet/Soin Sub County,4,474,Sigowet/Soin Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
56,Kericho,491,Kipkelion East Sub County,4,Kipkelion East Sub County,4,491,Kipkelion East Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,427,Githunguri Sub County,5,Githunguri Sub County,5,427,Githunguri Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,428,Kiambu Town Sub County,4,Kiambu Town Sub County,4,428,Kiambu Town Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,429,Kiambaa Sub County,5,Kiambaa Sub County,5,429,Kiambaa Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,431,Kabete Sub County,5,Kabete Sub County,5,431,Kabete Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,435,Lari Sub County,5,Lari Sub County,5,435,Lari Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,436,Gatundu South Sub County,4,Gatundu South Sub County,4,436,Gatundu South Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,437,Gatundu North Sub County,4,Gatundu North Sub County,4,437,Gatundu North Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,438,Juja Sub County,5,Juja Sub County,5,438,Juja Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,439,Thika Town Sub County,5,Thika Town Sub County,5,439,Thika Town Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,448,Ruiru Sub County,8,Ruiru Sub County,8,448,Ruiru Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,539,Kikuyu Sub County,5,Kikuyu Sub County,5,539,Kikuyu Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
82,Kiambu,540,Limuru Sub County,5,Limuru Sub County,5,540,Limuru Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,356,Kilifi North Sub County,7,Kilifi North Sub County,7,356,Kilifi North Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,367,Kilifi South Sub County,5,Kilifi South Sub County,5,367,Kilifi South Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,423,Rabai Sub County,4,Rabai Sub County,4,423,Rabai Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,476,Kaloleni Sub County,4,Kaloleni Sub County,4,476,Kaloleni Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
