gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
1813,Mombasa,Nyali  Sub County,Kongowea Ward,mombasa,nyali,1842,55,Mombasa,1256,Nyali,55,1256,Nyali,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
814,LAIKIPIA,Laikipia West Sub County,Marmanet Ward,laikipia,laikipiawest,1843,91,Laikipia,1457,Laikipia West,91,1457,Laikipia West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
815,LAIKIPIA,Laikipia West Sub County,Igwamiti Ward,laikipia,laikipiawest,1844,91,Laikipia,1457,Laikipia West,91,1457,Laikipia West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
816,LAIKIPIA,Laikipia West Sub County,Salama Ward,laikipia,laikipiawest,1845,91,Laikipia,1457,Laikipia West,91,1457,Laikipia West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
817,LAIKIPIA,Laikipia East Sub County,Ngobit Ward,laikipia,laikipiaeast,1846,91,Laikipia,1455,Laikipia East,91,1455,Laikipia East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
818,LAIKIPIA,Laikipia East Sub County,Tigithi Ward,laikipia,laikipiaeast,1847,91,Laikipia,1455,Laikipia East,91,1455,Laikipia East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
819,LAIKIPIA,Laikipia East Sub County,Thingithu Ward,laikipia,laikipiaeast,1848,91,Laikipia,1455,Laikipia East,91,1455,Laikipia East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
820,LAIKIPIA,Laikipia East Sub County,Nanyuki Ward,laikipia,laikipiaeast,1849,91,Laikipia,1455,Laikipia East,91,1455,Laikipia East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1821,Mombasa,Mvita  Sub County,Tudor Ward,mombasa,mvita,1850,55,Mombasa,1255,Mvita,55,1255,Mvita,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1777,Nakuru,Rongai  Sub County,Mosop Ward,nakuru,rongai,1851,77,Nakuru,1468,Rongai,77,1468,Rongai,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1778,Nakuru,Rongai  Sub County,Solai Ward,nakuru,rongai,1852,77,Nakuru,1468,Rongai,77,1468,Rongai,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
117,TAITA TAVETA,Wundanyi Sub County,Werugha Ward,taitataveta,wundanyi,1853,59,Taita Taveta,303,Wundanyi Sub County,59,303,Wundanyi Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1784,Nakuru,Nakuru West  Sub County,Barut Ward,nakuru,nakuruwest,1854,77,Nakuru,1466,Nakuru West,77,1466,Nakuru West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1785,Nakuru,Nakuru West  Sub County,London Ward,nakuru,nakuruwest,1855,77,Nakuru,1466,Nakuru West,77,1466,Nakuru West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1799,Mombasa,Changamwe Sub County,Chaani Ward,mombasa,changamwe,1856,55,Mombasa,1251,Changamwe,55,1251,Changamwe,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
911,KAJIADO,Kajiado North Sub County,Olkeri Ward,kajiado,kajiadonorth,1857,92,Kajiado,1478,Kajiado North,92,1478,Kajiado North,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
912,KAJIADO,Kajiado North Sub County,Ongata rongai Ward,kajiado,kajiadonorth,1858,92,Kajiado,1478,Kajiado North,92,1478,Kajiado North,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
913,KAJIADO,Kajiado North Sub County,Nkaimurunya Ward,kajiado,kajiadonorth,1859,92,Kajiado,1478,Kajiado North,92,1478,Kajiado North,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
914,KAJIADO,Kajiado North Sub County,Oloolua Ward,kajiado,kajiadonorth,1860,92,Kajiado,1478,Kajiado North,92,1478,Kajiado North,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
915,KAJIADO,Kajiado North Sub County,Ngong Ward,kajiado,kajiadonorth,1861,92,Kajiado,1478,Kajiado North,92,1478,Kajiado North,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
916,KAJIADO,Kajiado Central Sub County,Purko Ward,kajiado,kajiadocentral,1862,92,Kajiado,1477,Kajiado Central,92,1477,Kajiado Central,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
917,KAJIADO,Kajiado Central Sub County,Ildamat Ward,kajiado,kajiadocentral,1863,92,Kajiado,1477,Kajiado Central,92,1477,Kajiado Central,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
918,KAJIADO,Kajiado Central Sub County,Dalalekutuk Ward,kajiado,kajiadocentral,1864,92,Kajiado,1477,Kajiado Central,92,1477,Kajiado Central,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
919,KAJIADO,Kajiado Central Sub County,Matapato north Ward,kajiado,kajiadocentral,1865,92,Kajiado,1477,Kajiado Central,92,1477,Kajiado Central,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
920,KAJIADO,Kajiado Central Sub County,Matapato south Ward,kajiado,kajiadocentral,1866,92,Kajiado,1477,Kajiado Central,92,1477,Kajiado Central,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
