sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1664,Butsotso South  Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1144,Butsotso South  Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
1665,Butsotso Central Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1145,Butsotso Central Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
1666,Sheywe Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1146,Sheywe Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
1667,Mahiakalo Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1147,Mahiakalo Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
1668,Shirere Ward,Kakamega,Lurambi Sub County,Y3NjAhiBaZT,54,291,1148,Shirere Ward,54,Kakamega,291,Lurambi Sub County,CORRECT,EXACT,
1669,Ingoste-matiha Ward,Kakamega,Navakholo Sub County,G6PJ5kFVAuO,54,1505,1149,Ingoste-matiha Ward,54,Kakamega,1505,Navakholo,CORRECT,NORMALIZED,
1670,Shinoyi-shikomari-esumeiya Ward,Kakamega,Navakholo Sub County,G6PJ5kFVAuO,54,1505,1150,Shinoyi-shikomari-esumeiya Ward,54,Kakamega,1505,Navakholo,CORRECT,NORMALIZED,
1671,Bunyala West Ward,Kakamega,Navakholo Sub County,G6PJ5kFVAuO,54,1505,1151,Bunyala West Ward,54,Kakamega,1505,Navakholo,CORRECT,NORMALIZED,
1672,Bunyala East Ward,Kakamega,Navakholo Sub County,G6PJ5kFVAuO,54,1505,1152,Bunyala East Ward,54,Kakamega,1505,Navakholo,CORRECT,NORMALIZED,
1673,Bunyala Central Ward,Kakamega,Navakholo Sub County,G6PJ5kFVAuO,54,1505,1153,Bunyala Central Ward,54,Kakamega,1505,Navakholo,CORRECT,NORMALIZED,
1674,Mumias Central Ward,Kakamega,Mumias West  Sub County,uRl5fBkhpcE,54,1504,1154,Mumias Central Ward,54,Kakamega,1504,Mumias West,CORRECT,NORMALIZED,
1796,Kipevu Ward,Mombasa,Changamwe Sub County,OvI6w06DhPJ,55,1251,1155,Kipevu Ward,55,Mombasa,1251,Changamwe,CORRECT,NORMALIZED,
961,BELGUT,KERICHO,AINAMOI,,56,295,1156,BELGUT,56,Kericho,295,AINAMOI,CORRECT,EXACT,
94,Chewani Ward,TANA RIVER,Galole Sub County,A4SNYCxrrnv,57,296,1157,Chewani Ward,57,Tana River,296,Galole Sub County,CORRECT,EXACT,
92,Kinakomba Ward,TANA RIVER,Galole Sub County,A4SNYCxrrnv,57,296,1158,Kinakomba Ward,57,Tana River,296,Galole Sub County,CORRECT,EXACT,
1476,Kanyasa Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1159,Kanyasa Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1477,North Kadem Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1160,North Kadem Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1478,Macalder/kanyarwanda Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1161,Macalder/kanyarwanda Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1479,Kaler Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1162,Kaler Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1480,Got Kachola Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1163,Got Kachola Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1481,Muhuru Ward,Migori,Nyatike Sub County,D2lsuEzZAJP,49,1551,1164,Muhuru Ward,49,Migori,1551,Nyatike,CORRECT,NORMALIZED,
1482,Bukira East Ward,Migori,Kuria West Sub County,jtBjNpL9FXS,49,1550,1165,Bukira East Ward,49,Migori,1550,Kuria West,CORRECT,NORMALIZED,
1483,Bukira Central/ikerege Ward,Migori,Kuria West Sub County,jtBjNpL9FXS,49,1550,1166,Bukira Central/ikerege Ward,49,Migori,1550,Kuria West,CORRECT,NORMALIZED,
1484,Isibania Ward,Migori,Kuria West Sub County,jtBjNpL9FXS,49,1550,1167,Isibania Ward,49,Migori,1550,Kuria West,CORRECT,NORMALIZED,
1797,Airport Ward,Mombasa,Changamwe Sub County,OvI6w06DhPJ,55,1251,1168,Airport Ward,55,Mombasa,1251,Changamwe,CORRECT,NORMALIZED,
101,FAZA,LAMU,LAMU EAST,cwnqFyTJIgX,58,1274,1169,FAZA,58,Lamu,1274,Lamu East,CORRECT,EXACT,
